iter	RMSE
0	8755.786318
1	7600.769647
2	6842.540537
3	6368.318482
4	6068.137632
5	5874.928895
6	5627.336977
7	5515.534024
8	5417.673149
9	5347.56736
10	5245.489002
11	5185.341337
12	5127.758918
13	5102.040292
14	5079.621263
15	5037.510507
16	4976.561541
17	4925.112446
18	4887.511142
19	4818.359369
20	4802.854178
21	4793.221607
22	4714.066523
23	4655.191453
24	4608.606478
25	4575.810308
26	4555.914812
27	4537.697454
28	4494.614508
29	4475.788086
30	4451.375068
31	4433.631228
32	4413.901301
33	4389.305295
34	4372.822645
35	4337.333893
36	4296.35788
37	4284.6005
38	4255.918335
39	4232.221109
40	4221.671056
41	4214.545236
42	4196.649854
43	4184.229274
44	4172.367997
45	4156.921278
46	4142.907392
47	4133.612788
48	4119.095801
49	4112.281359
50	4095.772937
51	4078.159074
52	4056.81484
53	4038.719409
54	4020.712324
55	4009.177141
56	3993.020954
57	3985.107391
58	3965.388764
59	3952.285523
60	3931.176315
61	3925.524046
62	3917.131547
63	3895.470895
64	3813.900503
65	3753.724096
66	3750.038201
67	3735.452203
68	3713.981566
69	3705.439749
70	3696.101959
71	3689.707551
72	3669.118472
73	3651.224337
74	3649.330528
75	3639.879407
76	3629.434095
77	3627.088787
78	3617.475587
79	3605.259292
80	3596.741972
81	3586.739794
82	3582.239128
83	3570.63954
84	3561.317639
85	3544.742429
86	3533.879229
87	3528.600444
88	3503.58601
89	3497.425279
90	3488.23327
91	3481.633708
92	3469.495374
93	3451.167825
94	3428.514349
95	3419.268657
96	3408.449269
97	3401.362186
98	3389.217026
99	3378.704067
100	3369.711888
101	3367.445482
102	3362.659168
103	3356.243615
104	3355.401885
105	3347.286912
106	3340.529517
107	3333.611158
108	3328.938718
109	3319.431037
110	3313.398535
111	3305.232585
112	3284.212565
113	3274.277287
114	3272.309703
115	3265.890237
116	3264.38541
117	3256.475266
118	3248.291727
119	3242.818796
120	3234.376263
121	3231.073389
122	3226.928888
123	3222.673795
124	3214.943261
125	3196.21768
126	3188.167009
127	3181.268028
128	3177.354967
129	3175.727273
130	3173.760069
131	3168.999836
132	3162.479579
133	3149.411497
134	3140.291814
135	3131.970515
136	3128.343011
137	3122.692596
138	3119.207077
139	3117.933493
140	3106.126292
141	3104.221858
142	3093.033755
143	3069.395365
144	3063.535642
145	3053.696182
146	3039.785482
147	3032.608221
148	3031.086782
149	3029.124911
150	3022.308167
151	3016.344809
152	3008.627711
153	3003.754506
154	2989.32436
155	2984.449485
156	2977.856998
157	2975.935286
158	2970.440617
159	2964.874951
160	2958.354414
161	2938.088521
162	2935.643907
163	2932.651748
164	2925.634886
165	2918.770555
166	2913.305086
167	2907.2922
168	2898.46151
169	2892.066884
170	2885.83611
171	2880.646774
172	2868.547111
