iter	Passed	Remaining
0	14	7070
1	28	7156
2	43	7142
3	57	7161
4	72	7167
5	86	7133
6	101	7149
7	115	7074
8	128	7022
9	142	6960
10	155	6928
11	169	6884
12	182	6847
13	196	6812
14	209	6758
15	228	6910
16	247	7045
17	262	7018
18	275	6981
19	289	6943
20	302	6890
21	311	6770
22	324	6735
23	337	6702
24	351	6681
25	365	6669
26	378	6637
27	392	6608
28	405	6579
29	418	6557
30	434	6569
31	448	6559
32	466	6598
33	481	6598
34	495	6578
35	508	6550
36	521	6527
37	535	6505
38	548	6482
39	562	6467
40	575	6444
41	583	6365
42	596	6344
43	610	6322
44	623	6303
45	641	6327
46	666	6426
47	682	6422
48	695	6401
49	708	6379
50	722	6359
51	735	6335
52	748	6316
53	762	6300
54	776	6283
55	790	6264
56	805	6258
57	819	6244
58	833	6228
59	849	6226
60	867	6242
61	886	6265
62	914	6344
63	934	6366
64	955	6392
65	976	6418
66	993	6423
67	1012	6429
68	1029	6427
69	1045	6421
70	1078	6518
71	1096	6518
72	1114	6520
73	1133	6523
74	1151	6525
75	1169	6525
76	1188	6529
77	1205	6522
78	1224	6525
79	1241	6520
80	1258	6510
81	1272	6485
82	1296	6514
83	1313	6502
84	1328	6484
85	1343	6467
86	1357	6443
87	1371	6419
88	1385	6395
89	1399	6374
90	1413	6351
91	1427	6328
92	1440	6305
93	1454	6283
94	1468	6260
95	1482	6238
96	1500	6232
97	1521	6240
98	1537	6227
99	1558	6234
100	1576	6226
101	1593	6216
102	1610	6207
103	1628	6200
104	1647	6199
105	1669	6206
106	1688	6202
107	1711	6213
108	1744	6257
109	1768	6271
110	1784	6255
111	1798	6230
112	1812	6207
113	1825	6182
114	1839	6159
115	1853	6134
116	1866	6111
117	1880	6087
118	1893	6063
119	1907	6039
120	1922	6023
121	1949	6039
122	1963	6019
123	1977	5996
124	1990	5972
125	2004	5949
126	2017	5925
127	2030	5902
128	2044	5878
129	2058	5857
130	2071	5835
131	2084	5812
132	2098	5790
133	2114	5775
134	2131	5762
135	2149	5752
136	2167	5742
137	2182	5724
138	2196	5705
139	2212	5688
140	2226	5669
141	2241	5650
142	2257	5636
143	2273	5619
144	2288	5603
145	2305	5590
146	2319	5570
147	2335	5553
148	2356	5550
149	2370	5532
150	2384	5511
151	2398	5490
152	2411	5468
153	2424	5447
154	2437	5425
155	2450	5404
156	2464	5384
157	2477	5362
158	2490	5341
159	2503	5320
160	2517	5300
161	2530	5278
162	2550	5272
163	2565	5256
164	2579	5236
165	2592	5217
166	2606	5196
167	2619	5175
168	2632	5155
169	2645	5135
170	2658	5114
171	2671	5094
172	2684	5074
173	2697	5054
174	2710	5034
175	2724	5014
176	2737	4994
177	2756	4986
178	2773	4973
179	2787	4956
180	2801	4937
181	2815	4919
182	2831	4903
183	2847	4890
184	2865	4878
185	2881	4863
186	2897	4850
187	2914	4836
188	2929	4820
189	2943	4801
190	2958	4786
191	2976	4774
192	2989	4754
193	3003	4736
194	3016	4718
195	3030	4699
196	3043	4680
197	3056	4662
198	3070	4644
199	3083	4625
200	3096	4606
201	3109	4587
202	3123	4570
203	3136	4551
204	3149	4532
205	3166	4519
206	3182	4505
207	3196	4488
208	3210	4469
209	3223	4451
210	3237	4434
211	3251	4417
212	3265	4399
213	3278	4382
214	3292	4364
215	3310	4352
216	3333	4346
217	3349	4333
218	3370	4324
219	3395	4321
220	3413	4308
221	3430	4295
222	3451	4287
223	3467	4272
224	3486	4261
225	3503	4247
226	3519	4232
227	3535	4217
228	3552	4203
229	3576	4199
230	3593	4184
231	3609	4169
232	3624	4152
233	3641	4139
234	3657	4124
235	3671	4107
236	3684	4088
237	3698	4071
238	3711	4053
239	3726	4036
240	3741	4020
241	3755	4003
242	3771	3988
243	3789	3975
244	3805	3960
245	3821	3945
246	3835	3928
247	3848	3910
248	3861	3892
249	3874	3874
250	3888	3857
251	3901	3839
252	3915	3822
253	3928	3804
254	3941	3787
255	3954	3769
256	3967	3751
257	3981	3734
258	3997	3719
259	4016	3707
260	4032	3692
261	4046	3676
262	4060	3659
263	4074	3642
264	4089	3626
265	4106	3612
266	4123	3598
267	4145	3588
268	4168	3579
269	4187	3567
270	4228	3573
271	4253	3565
272	4269	3550
273	4287	3536
274	4304	3521
275	4319	3505
276	4341	3495
277	4358	3480
278	4373	3464
279	4392	3451
280	4409	3436
281	4426	3421
282	4447	3409
283	4467	3398
284	4485	3383
285	4499	3366
286	4514	3350
287	4529	3334
288	4545	3318
289	4563	3304
290	4580	3289
291	4600	3277
292	4627	3268
293	4647	3256
294	4672	3246
295	4690	3232
296	4710	3219
297	4727	3204
298	4745	3189
299	4763	3175
300	4782	3161
301	4799	3146
302	4815	3130
303	4832	3115
304	4851	3101
305	4874	3090
306	4891	3075
307	4907	3059
308	4921	3041
309	4935	3024
310	4951	3009
311	4966	2992
312	4981	2976
313	5000	2961
314	5018	2947
315	5039	2934
316	5066	2925
317	5089	2912
318	5109	2899
319	5126	2883
320	5143	2868
321	5161	2853
322	5180	2838
323	5200	2824
324	5217	2809
325	5236	2795
326	5254	2779
327	5271	2764
328	5290	2749
329	5307	2734
330	5324	2718
331	5340	2702
332	5354	2685
333	5368	2668
334	5382	2650
335	5396	2633
336	5410	2616
337	5425	2600
338	5441	2584
339	5458	2568
340	5479	2555
341	5505	2543
342	5524	2528
343	5540	2512
344	5558	2497
345	5574	2481
346	5592	2465
347	5614	2452
348	5630	2436
349	5648	2420
350	5665	2404
351	5684	2389
352	5703	2374
353	5720	2359
354	5741	2344
355	5758	2329
356	5773	2312
357	5787	2295
358	5801	2278
359	5816	2261
360	5830	2245
361	5846	2228
362	5864	2213
363	5881	2197
364	5908	2185
365	5933	2172
366	5950	2156
367	5967	2140
368	5985	2125
369	6003	2109
370	6019	2092
371	6035	2076
372	6050	2060
373	6068	2044
374	6084	2028
375	6100	2011
376	6117	1996
377	6142	1982
378	6159	1966
379	6176	1950
380	6191	1933
381	6205	1917
382	6219	1899
383	6233	1883
384	6248	1866
385	6264	1850
386	6280	1833
387	6300	1818
388	6322	1804
389	6344	1789
390	6360	1773
391	6376	1756
392	6392	1740
393	6408	1724
394	6425	1707
395	6441	1691
396	6458	1675
397	6474	1659
398	6490	1643
399	6506	1626
400	6523	1610
401	6548	1596
402	6567	1580
403	6581	1563
404	6594	1546
405	6608	1530
406	6622	1513
407	6635	1496
408	6648	1479
409	6663	1462
410	6680	1446
411	6696	1430
412	6715	1414
413	6743	1400
414	6767	1386
415	6786	1370
416	6804	1354
417	6820	1338
418	6839	1322
419	6856	1305
420	6873	1289
421	6889	1273
422	6906	1257
423	6924	1241
424	6941	1224
425	6958	1208
426	6985	1194
427	7001	1177
428	7017	1161
429	7034	1145
430	7048	1128
431	7062	1111
432	7075	1094
433	7089	1078
434	7105	1061
435	7122	1045
436	7143	1029
437	7167	1014
438	7198	1000
439	7215	983
440	7232	967
441	7247	951
442	7264	934
443	7280	918
444	7296	901
445	7310	885
446	7329	869
447	7345	852
448	7361	836
449	7394	821
450	7412	805
451	7428	788
452	7443	772
453	7457	755
454	7471	738
455	7485	722
456	7499	705
457	7514	689
458	7530	672
459	7548	656
460	7568	640
461	7589	624
462	7616	608
463	7636	592
464	7652	575
465	7668	559
466	7684	542
467	7700	526
468	7716	510
469	7731	493
470	7747	477
471	7763	460
472	7779	444
473	7795	427
474	7811	411
475	7835	395
476	7853	378
477	7867	362
478	7881	345
479	7895	328
480	7909	312
481	7923	295
482	7938	279
483	7955	262
484	7971	246
485	7991	230
486	8011	213
487	8028	197
488	8056	181
489	8075	164
490	8091	148
491	8106	131
492	8121	115
493	8139	98
494	8155	82
495	8171	65
496	8187	49
497	8203	32
498	8220	16
499	8236	0
